id_herb,nama_herb,nama_latin,nama_lokal,link_gambar,deskripsi_khasiat,mengatasi_gejala,komposisi
,Inggu,Ruta angustifolia,Aruda (Jawa); Rue (Sunda); Sambu Laut (Sumatera); Ambur Inggu (Aceh); Irutu (Sulawesi).,,"Merupakan tanaman semak kecil dengan aroma khas yang berasal dari daunnya. Daunnya kecil dan berwarna hijau tua, tumbuh subur di daerah tropis. Tanaman ini sering digunakan sebagai bumbu dapur sekaligus obat herbal. Khasiatnya meliputi meredakan perut kembung, meningkatkan nafsu makan, dan mengurangi rasa mual. Selain itu, tanaman ini juga dipercaya membantu melancarkan peredaran darah dan mengurangi nyeri pada tubuh.","Perut kembung
Sakit kepala
Haid tidak teratur
Kulit gatal
Nyeri otot","Kumarin, minyak atsiri, flavonoid, saponin."
,Jamblang,Syzygium cumini,Duwet (Jawa); Jambu Keling (Sumatera); Dara Balem (Aceh); Balenduk (Sulawesi); Pelam Jambo (Minangkabau).,,"Adalah pohon buah dengan daun hijau lebat dan buah kecil berwarna ungu gelap hingga hitam. Pohon ini tumbuh subur di daerah tropis dengan tanah yang subur. Buahnya kaya akan antioksidan dan vitamin C, sering digunakan untuk menjaga kesehatan kulit dan meningkatkan sistem imun. Khasiat lainnya meliputi membantu mengontrol kadar gula darah, memperbaiki fungsi pencernaan, dan melawan radikal bebas. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan jantung.","Diare
Sakit perut
Mulut kering
Gula darah tinggi
Kulit radang ","Antosianin, vitamin C, tanin, flavonoid."
,Jarak,Ricinus communis,Kaliki (Sunda); Gloyor (Jawa); Tanah Jarak (Sumatera); Urek-Urek (Sulawesi); Daun Urek (Aceh).,,"Merupakan tanaman perdu dengan daun besar hijau tua yang menghasilkan getah putih. Tanaman ini sering digunakan dalam pengobatan tradisional untuk mengatasi masalah kulit seperti eksim dan gatal-gatal. Getahnya mengandung senyawa bioaktif yang memiliki sifat antimikroba dan anti-inflamasi. Khasiat lainnya meliputi membantu melancarkan pencernaan, meredakan nyeri otot, dan meningkatkan daya tahan tubuh. Selain itu, tanaman ini juga sering digunakan sebagai bahan alami untuk melawan infeksi ringan.","Sembelit
Nyeri otot
Luka
Pembengkakan
Ketombe","Ricin, minyak atsiri, tanin, alkaloid."
,Jengger ayam,Celosia cristata,Bayam Wungu (Jawa); Celosia (Sunda); Sirih Ayam (Aceh); Gulu Ayam (Sulawesi); Daun Merah (Madura).,,"Adalah tanaman hias yang memiliki bunga berwarna merah menyala dengan bentuk menyerupai jengger ayam. Selain sebagai tanaman hias, bagian bunga dan daunnya sering digunakan dalam pengobatan tradisional. Tanaman ini dikenal memiliki sifat antiradang dan antioksidan yang baik untuk kesehatan. Khasiatnya meliputi membantu meredakan demam, mempercepat penyembuhan luka, dan meningkatkan kesehatan kulit. Selain itu, tanaman ini juga dipercaya membantu memperbaiki metabolisme tubuh secara alami.","Mimisan
Diare
Mata iritasi
Pembengkakan
Keputihan","Flavonoid, saponin, tanin, alkaloid."
,Jeruk nipis,Citrus aurantiifolia,Jeruk Pecel (Jawa); Lime (Sunda); Limau Kecil (Sumatera); Lemoh (Sulawesi); Limek (Minangkabau).,,"Adalah pohon buah kecil dengan daun hijau lebat dan buah berwarna hijau hingga kuning. Tumbuh subur di daerah tropis, sering digunakan sebagai bahan penyegar dalam minuman dan masakan. Buahnya kaya akan vitamin C, flavonoid, dan antioksidan yang bermanfaat untuk kesehatan. Khasiatnya meliputi membantu meningkatkan daya tahan tubuh, mengatasi batuk, dan meredakan radang tenggorokan. Selain itu, air perasan buah ini juga dipercaya dapat memperbaiki pencernaan dan membersihkan racun dari tubuh.","Batuk
Mual
Perut kembung
Sakit tenggorokan
Kulit berminyak","Vitamin C, asam sitrat, flavonoid, minyak atsiri."
,Jeruk purut,Citrus hystrix,Lemoh (Sulawesi); Jeruk Peres (Jawa); Limau Purut (Sumatera); Jeruk Lumut (Aceh); Lemu Koci (Madura).,,"Merupakan pohon kecil dengan daun hijau berkilau dan buah berbentuk bulat kecil dengan aroma khas. Buahnya sering digunakan sebagai bahan pelengkap masakan, terutama untuk memberikan rasa segar. Mengandung senyawa bioaktif yang berfungsi sebagai anti-inflamasi dan antibakteri alami. Khasiat utamanya meliputi membantu meredakan nyeri sendi, memperbaiki pencernaan, dan meningkatkan daya tahan tubuh. Selain itu, daun dan buahnya juga sering digunakan untuk mengatasi stres dan meningkatkan relaksasi.","Mual
Pusing
Kulit berminyak
Bau badan
Kulit gatal","Vitamin C, minyak atsiri, flavonoid, asam organik."
,Jintan putih,Cuminum cyminum,Jinten Kampung (Jawa); Jinten Kuning (Sunda); Jintan Besar (Sumatera); Jintan Laos (Aceh); Jintan Raja (Sulawesi).,,"Adalah tanaman rempah dengan biji kecil berwarna cokelat muda yang memiliki aroma khas dan rasa hangat. Tanaman ini sering digunakan sebagai bumbu masakan dan bahan obat tradisional. Kandungan minyak atsirinya dikenal bermanfaat untuk meredakan perut kembung, meningkatkan nafsu makan, dan mengatasi gangguan pencernaan. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mengurangi rasa mual, dan meredakan nyeri perut. Selain itu, tanaman ini juga dipercaya dapat meningkatkan energi tubuh secara alami.","Perut kembung
Mual
Diare
Susah tidur
Nyeri haid","Minyak atsiri, flavonoid, saponin, tanin."
,Jombang,Taraxacum officinale,Randa Tapak (Jawa); Tarakembang (Sunda); Daun Jombang (Sumatera); Tapak Liman (Aceh); Dandelion (Sulawesi).,,"Merupakan tanaman berbunga dengan daun berbentuk panjang dan bunga kuning cerah yang tumbuh liar di berbagai daerah tropis. Daunnya sering digunakan dalam pengobatan tradisional untuk mengatasi radang, demam, dan infeksi ringan. Tanaman ini dikenal memiliki sifat antimikroba dan antioksidan yang kuat. Khasiatnya meliputi mempercepat penyembuhan luka, meningkatkan daya tahan tubuh, dan melancarkan peredaran darah. Selain itu, tanaman ini juga dipercaya dapat membantu mengatasi masalah kulit seperti eksim dan ruam.","Perut kembung
Tidak nafsu makan
Kulit gatal
Kelelahan
Nyeri otot","Taraxacin, flavonoid, vitamin C, polifenol."
,Kamboja,Plumeria sp.,Semboja (Jawa); Jepun (Bali); Bunga Kamboja (Sumatera); Semba (Sulawesi); Cemboja (Aceh).,,"Adalah pohon besar dengan bunga berwarna putih hingga kuning pucat yang memiliki aroma harum. Tumbuh subur di daerah tropis, pohon ini sering ditanam sebagai penghias taman atau pekarangan. Selain sebagai tanaman hias, bunganya digunakan dalam berbagai ritual tradisional. Dalam pengobatan herbal, ekstrak bunga dikenal membantu meredakan stres, memperbaiki kualitas tidur, dan meningkatkan relaksasi. Selain itu, tanaman ini juga dipercaya memiliki manfaat untuk memperbaiki sirkulasi darah.","Nyeri sendi
Demam
Pembengkakan
Luka
Kulit gatal","Alkaloid, flavonoid, saponin, tanin."
,Kapulaga,Amomum compactum,Polowijo (Jawa); Kapolaga (Sunda); Buah Pelaga (Sumatera); Laga Wija (Sulawesi); Palaga (Aceh).,,"Merupakan tanaman rempah dengan buah berbentuk bulat kecil berwarna hijau hingga cokelat. Tumbuh subur di dataran tinggi, tanaman ini sering digunakan sebagai bahan dalam masakan dan pengobatan tradisional. Buahnya mengandung minyak atsiri yang membantu melancarkan pernapasan dan meredakan nyeri perut. Khasiat lainnya meliputi membantu meningkatkan pencernaan, memperbaiki fungsi ginjal, dan mengatasi batuk. Selain itu, tanaman ini juga dipercaya mampu meningkatkan stamina tubuh.","Mual
Bau mulut
Perut kembung
Nyeri haid
Kelelahan","Minyak atsiri, flavonoid, tanin, saponin."
,Kastuba,Euphorbia pulcherrima,Daun Merah (Jawa); Bunga Kastuba (Sunda); Daun Katuba (Sumatera); Bunga Tete (Aceh); Bunga Kastu (Sulawesi).,,"Adalah tanaman perdu dengan daun berwarna hijau gelap dan bunga kecil berwarna merah mencolok. Tumbuh subur di daerah tropis, tanaman ini sering digunakan sebagai penghias taman dan sebagai bahan herbal. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antiradang dan antioksidan. Khasiatnya meliputi membantu meredakan nyeri sendi, mempercepat penyembuhan luka, dan meningkatkan daya tahan tubuh. Selain itu, tanaman ini juga sering digunakan untuk memperbaiki kesehatan kulit dan rambut.","Demam
Sakit kepala
Nyeri otot
Luka
Pembengkakan","Flavonoid, saponin, tanin, alkaloid."
,Katuk,Sauropus androgynus,Kebing (Sumatera); Daun Katuk (Jawa); Katuk Alas (Sunda); Daun Keup (Aceh); Daun Tetuk (Sulawesi).,,"Merupakan tanaman semak dengan daun hijau kecil yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa yang membantu melancarkan ASI pada ibu menyusui dan meningkatkan stamina tubuh. Selain itu, tanaman ini juga dipercaya dapat memperbaiki fungsi pencernaan dan mengatasi anemia. Khasiat lainnya meliputi membantu menurunkan kadar gula darah dan menjaga kesehatan hati. Daunnya sering dikonsumsi dalam bentuk teh atau lalapan segar.","ASI sedikit
Lemas
Sembelit
Kulit kering
Imun lemah","Vitamin A, vitamin C, flavonoid, kalsium."
,Kayu manis,Cinnamomum verum,Manis Janggelan (Jawa); Kulit Manis (Sunda); Kulit Kayu Manis (Sumatera); Cinnamomi (Aceh); Lawang Manis (Sulawesi).,,"Adalah pohon kecil dengan kulit batang berwarna cokelat muda yang memiliki aroma manis khas. Kulit batangnya sering digunakan sebagai bumbu masakan dan bahan herbal. Tanaman ini kaya akan senyawa sinamaldehida yang memiliki sifat anti-inflamasi dan antibakteri. Khasiatnya meliputi membantu menurunkan kadar gula darah, meredakan nyeri otot, dan memperbaiki sirkulasi darah. Selain itu, sering digunakan untuk meningkatkan sistem kekebalan tubuh dan mengatasi gangguan pencernaan.","Mual
Kembung
Nyeri haid
Lelah
Sakit tenggorokan","Sinamaldehida, eugenol, tanin, flavonoid."
,Kayu putih,Melaleuca cajuputi,Gelam (Maluku); Daun Kayu Putih (Sumatera); Minyak Putih (Aceh); Lemo Gelam (Sulawesi); Kayu Wangi (Sunda).,,"Merupakan pohon kecil dengan daun hijau berbentuk lonjong dan batang yang mengandung minyak atsiri. Minyak yang diekstrak dari daun tanaman ini dikenal sebagai minyak kayu putih yang memiliki banyak manfaat kesehatan. Khasiat utamanya meliputi membantu meredakan pilek, mengatasi nyeri otot, dan memperbaiki pernapasan. Selain itu, minyak ini juga sering digunakan sebagai bahan alami untuk mengusir serangga dan mempercepat penyembuhan luka ringan. Tanaman ini sering ditemukan di daerah tropis seperti Indonesia.","Pilek
Nyeri otot
Sakit  kepala
Kulit gatal
Perut kembung","Minyak atsiri (cineol), flavonoid, tanin."
,Kedelai,Glycine max,Dele (Jawa); Kacang Kedelai (Sunda); Kacang Penuh (Sumatera); Dele Kuning (Sulawesi); Kacang Tele (Aceh).,,"Adalah tanaman perdu dengan biji kecil berwarna kuning kecokelatan yang kaya akan protein dan serat. Tumbuh subur di daerah tropis, tanaman ini sering dijadikan bahan utama dalam berbagai masakan tradisional. Selain menjadi sumber makanan, bijinya memiliki kandungan isoflavon yang baik untuk kesehatan hormon. Khasiat utamanya meliputi membantu mengurangi gejala menopause, menurunkan kolesterol, dan menjaga kesehatan jantung. Selain itu, tanaman ini juga dikenal sebagai sumber energi yang baik untuk tubuh.","Kelelahan
Kulit kering
Gejala menopause
Sembelit
Nyeri otot","Isoflavon, protein, saponin, vitamin B kompleks."
,Keji beling,Strobilanthes crispus,Pecah Kaca (Sunda); Daun Pecah Beling (Jawa); Daun Remuk (Sumatera); Pecah Batu (Aceh); Balas Beling (Sulawesi).,,"Merupakan tanaman semak dengan daun lebar hijau tua yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat diuretik dan detoksifikasi. Dalam pengobatan tradisional, tanaman ini sering digunakan untuk mengatasi masalah batu ginjal dan infeksi saluran kemih. Khasiat lainnya meliputi membantu menurunkan tekanan darah, mempercepat penyembuhan luka, dan mengatasi gangguan pencernaan. Daunnya juga sering dijadikan teh herbal yang menyegarkan.","Perut kembung
Mual
Sering buang air kecil
Nyeri otot
Pembengkakan","Flavonoid, saponin, alkaloid, tanin."
,Kelapa,Cocos nucifera,Nyuh (Bali); Kalapa (Jawa); Pohon Kelapa (Sunda); Pohon Niu (Sulawesi); Kalipah (Aceh).,,"Adalah pohon tropis dengan batang tinggi, daun menjuntai panjang, dan buah berbentuk bulat dengan serat kasar. Buahnya kaya akan nutrisi, seperti elektrolit, mineral, dan vitamin yang baik untuk menjaga kesehatan tubuh. Selain air kelapa yang terkenal sebagai minuman penyegar, daging buahnya sering digunakan dalam masakan dan obat tradisional. Khasiatnya meliputi membantu mengatasi dehidrasi, memperbaiki pencernaan, dan meningkatkan sistem imun. Selain itu, minyak kelapa juga dikenal sebagai bahan alami untuk perawatan kulit dan rambut.","Dehidrasi
Luka bakar ringan
Kulit kering
Rambut rontok
Ketombe","Elektrolit, vitamin B kompleks, lemak sehat."
,Kelor,Moringa oleifera,Maronggi (Sunda); Merunggai (Melayu); Daun Moringa (Sumatera); Kelar (Sulawesi); Kelo (Jawa).,,"Merupakan pohon kecil dengan daun berbentuk oval yang kaya akan nutrisi dan sering digunakan sebagai sayuran dan obat herbal. Daunnya mengandung vitamin C, kalsium, dan protein yang bermanfaat untuk kesehatan tubuh. Dalam pengobatan tradisional, sering digunakan untuk meningkatkan energi, melancarkan ASI pada ibu menyusui, dan memperbaiki fungsi hati. Khasiat lainnya meliputi membantu menurunkan kadar gula darah, meningkatkan daya tahan tubuh, dan memperbaiki kesehatan tulang. Daunnya sering diolah menjadi sup atau teh herbal.","Kelelahan
Pembengkakan
Kulit gatal
Nyeri sendi
Imun lemah","Vitamin C, kalsium, protein, flavonoid."
,Kembang kertas,Zinnia elegans,Kenikir Jepang (Jawa); Bunga Kertas (Sunda); Bungur Kertas (Sumatera); Kertase (Aceh); Kertane (Sulawesi).,,"Adalah tanaman hias dengan bunga berwarna-warni yang menyerupai kertas, sering ditemukan di pekarangan rumah atau taman. Selain sebagai tanaman hias, bagian bunga dan daunnya memiliki manfaat dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan demam, memperbaiki kesehatan kulit, dan mengatasi infeksi ringan. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan untuk membantu tidur lebih nyenyak.","Batuk
Demam
Nyeri haid
Sakit tenggorokan
Luka","Flavonoid, saponin, tanin, alkaloid."
,Kembang pukul empat,Mirabilis jalapa,Telesek Tilu (Sunda); Bunga Waktu (Jawa); Bunga Sore (Sumatera); Tepat Waktu (Sulawesi); Bunga Malam (Aceh).,,"Merupakan tanaman perdu dengan bunga berwarna cerah yang sering mekar di sore hari, dikenal juga sebagai bunga waktu. Bunganya memiliki aroma harum yang khas dan sering digunakan sebagai penghias taman. Selain itu, tanaman ini memiliki kandungan senyawa bioaktif yang membantu melancarkan peredaran darah dan meredakan nyeri otot. Khasiat lainnya meliputi membantu mengatasi insomnia, meredakan stres, dan mempercepat penyembuhan luka. Dalam pengobatan tradisional, bunganya sering direndam untuk dijadikan air kompres.","Pembengkakan
Nyeri otot
Bisul
Kulit gatal
Sakit kepala","Flavonoid, tanin, alkaloid, minyak atsiri."
,Kemuning,Murraya paniculata,Orang Aring (Sumatera); Daun Kemuning (Jawa); Daun Muning (Sunda); Muning Alas (Aceh); Muning Wija (Sulawesi).,,"Adalah tanaman semak kecil dengan daun kecil hijau terang dan bunga putih yang sering digunakan sebagai tanaman obat. Daunnya mengandung senyawa flavonoid dan minyak atsiri yang memiliki sifat antioksidan dan antimikroba. Khasiat utamanya meliputi membantu melancarkan peredaran darah, meredakan nyeri menstruasi, dan memperbaiki kesehatan kulit. Selain itu, tanaman ini juga digunakan dalam pengobatan tradisional untuk mengatasi stres dan meningkatkan relaksasi. Tanaman ini sering ditemukan di daerah tropis.","Nyeri otot
Perut kembung 
Kram perut
Pembengkakan
Susah tidur","Flavonoid, tanin, minyak atsiri, alkaloid."
,Kenanga,Cananga odorata,Cempaka Kuning (Jawa); Bunga Kenanga (Sunda); Bunga Nagasari (Sumatera); Kenu (Sulawesi); Nanga (Aceh).,,"Merupakan pohon besar dengan bunga harum berwarna kuning hingga hijau yang sering digunakan dalam ritual tradisional. Bunganya memiliki aroma khas yang sering dijadikan minyak esensial untuk terapi relaksasi. Dalam pengobatan tradisional, bunga dan daunnya sering digunakan untuk mengatasi stres, meningkatkan kualitas tidur, dan memperbaiki sirkulasi darah. Khasiat lainnya meliputi membantu meredakan nyeri kepala dan menjaga kesehatan kulit. Pohonnya sering ditanam sebagai penghias halaman rumah atau taman.","Stres
Susah tidur
Nyeri otot
Kulit kering
Kelelahan","Minyak atsiri (linalool), flavonoid, tanin."
,Kencur,Kaempferia galanga,Kacer (Jawa); Kunjir (Sunda); Cekur (Melayu); Kunir Putih (Sumatera); Kusir (Sulawesi).,,"Adalah tanaman rimpang dengan aroma khas yang memiliki kulit berwarna cokelat muda dan daging berwarna putih. Tanaman ini sering digunakan sebagai bahan masakan dan obat tradisional. Kandungannya kaya akan minyak atsiri yang memiliki sifat antiinflamasi dan antibakteri. Khasiatnya meliputi membantu mengatasi masuk angin, meredakan batuk, dan memperbaiki pencernaan. Selain itu, tanaman ini juga dipercaya dapat meningkatkan stamina tubuh dan melawan infeksi ringan.","Batuk
Nyeri otot
Perut kembung
Sakit kepala
Lemas","Minyak atsiri, flavonoid, saponin, tanin."
,Kentimun,Cucumis sativus,"Timun (Jawa, Melayu); Mentimun (Sunda); Ketela Mentimun (Sumatera); Lele Mentimun (Aceh); Timun Segar (Sulawesi).",,"Merupakan tanaman sayur dengan buah lonjong berwarna hijau terang yang sering digunakan sebagai lalapan atau campuran masakan. Buahnya kaya akan kandungan air dan serat, menjadikannya baik untuk menjaga kesehatan pencernaan. Selain itu, buah ini mengandung vitamin C dan antioksidan yang membantu memperbaiki kesehatan kulit dan meningkatkan daya tahan tubuh. Khasiat lainnya meliputi membantu mengatasi dehidrasi, menurunkan tekanan darah, dan memperbaiki metabolisme tubuh. Tanaman ini mudah tumbuh di berbagai kondisi tanah tropis.","Kulit kering
Mata lelah
Panas dalam
Kulit terbakar
Pembengkakan","Air, vitamin C, flavonoid, elektrolit."
,Ketepeng,Cassia alata,Gelenggang (Sumatera); Daun Ketepeng (Jawa); Ketepeng Alas (Sunda); Ketelenggang (Aceh); Ketengeng (Sulawesi).,,"Adalah tanaman perdu dengan daun besar berwarna hijau tua yang sering tumbuh di daerah tropis. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antijamur dan antibakteri. Dalam pengobatan tradisional, sering digunakan untuk mengatasi infeksi kulit, seperti kurap dan gatal-gatal. Khasiat lainnya meliputi membantu melancarkan pencernaan, mengurangi peradangan, dan mempercepat penyembuhan luka. Selain itu, daunnya juga dipercaya dapat membantu menurunkan kadar gula darah.","Kulit gatal
Luka
Infeksi jamur
Sembelit
Rambut rontok","Flavonoid, tanin, saponin, antrakuinon."
,Kucing-kucingan,Acalypha indica,Rumput Kucing (Jawa); Daun Kucing (Sunda); Daun Kucingan (Sumatera); Akar Kucing (Aceh); Kucing Alas (Sulawesi).,,"Merupakan tanaman kecil dengan daun berbentuk lonjong dan bunga kecil berwarna hijau. Tumbuh subur di daerah tropis, tanaman ini sering ditemukan di sekitar pekarangan atau kebun. Daunnya mengandung senyawa aktif yang memiliki sifat antiinflamasi dan antiseptik. Khasiatnya meliputi membantu mengobati gatal-gatal, mempercepat penyembuhan luka ringan, dan mengurangi bengkak. Tanaman ini juga sering digunakan sebagai obat alami untuk gangguan kulit dan luka bakar ringan.","Sakit kepala
Mual
Susah tidur
Nyeri otot
Stres","Flavonoid, saponin, alkaloid, tanin."
,Kumis kucing,Orthosiphon aristatus,Songot Koceng (Jawa); Daun Kumis (Sunda); Daun Kumis Kucing (Sumatera); Rumput Kucing (Sulawesi); Koceng Laut (Aceh).,,"Adalah tanaman semak kecil dengan daun bergerigi yang sering digunakan dalam pengobatan tradisional. Daunnya mengandung senyawa bioaktif yang membantu melancarkan saluran kemih dan mengurangi gejala batu ginjal. Dalam pengobatan herbal, sering digunakan untuk mengatasi peradangan, meningkatkan fungsi ginjal, dan meredakan nyeri sendi. Khasiat lainnya meliputi membantu menurunkan tekanan darah dan meningkatkan imunitas. Tanaman ini juga sering diracik menjadi teh herbal yang menyegarkan.","Sering buang air kecil
Nyeri saat buang air kecil
Pembengkakan
Perut kembung
Nyeri punggung","Flavonoid, saponin, tanin, kalium."
,Kunci pepet,Boesenbergia rotunda,Temu Kunci (Jawa); Daun Pepet (Sunda); Kunci Tanah (Sumatera); Pepet Jawi (Aceh); Kunci Limo (Sulawesi).,,"Merupakan tanaman rimpang dengan batang kecil yang memiliki aroma khas dan rasa pedas. Tanaman ini tumbuh subur di daerah tropis dengan tanah yang lembap dan subur. Kandungannya kaya akan minyak atsiri dan senyawa antibakteri alami. Khasiatnya meliputi membantu memperlancar pencernaan, meredakan batuk, dan mengatasi perut kembung. Selain itu, tanaman ini juga sering digunakan untuk meningkatkan nafsu makan dan menjaga kesehatan saluran pernapasan.","Perut kembung
Mual
Tidak nafsu makan
Nyeri haid
Bau mulut","Minyak atsiri, flavonoid, saponin, tanin."
,Kunyit ,Curcuma longa,Kunir (Jawa); Kunyir (Sunda); Cekur Kuning (Melayu); Kuningan (Sumatera); Unir (Sulawesi).,,"Adalah tanaman rimpang dengan warna kuning terang yang memiliki rasa dan aroma khas. Tumbuh subur di daerah tropis, tanaman ini sering digunakan sebagai bahan masakan dan obat tradisional. Kandungannya kaya akan kurkumin, senyawa yang memiliki sifat antiinflamasi dan antioksidan. Khasiatnya meliputi membantu memperbaiki fungsi hati, mengurangi nyeri sendi, dan meningkatkan kesehatan pencernaan. Selain itu, tanaman ini juga dikenal efektif untuk menjaga kesehatan kulit dan melawan infeksi ringan.","Pembengkakan
Nyeri sendi
Kulit iritasi
Perut kembung
Jerawat","Kurkumin, minyak atsiri, flavonoid, tanin."
,Lada hitam,Piper nigrum,"Merica (Jawa, Melayu); Sahang (Sumatera); Padi Lada (Sunda); Sahang Hitam (Aceh); Lada Besar (Sulawesi).",,"Merupakan tanaman merambat dengan batang kayu yang menghasilkan buah kecil berwarna hijau tua hingga hitam. Buahnya memiliki rasa pedas dan sering digunakan sebagai bumbu masakan serta bahan obat tradisional. Kaya akan senyawa piperin, tanaman ini memiliki sifat antioksidan dan antiinflamasi yang baik untuk kesehatan. Khasiatnya meliputi membantu meningkatkan metabolisme tubuh, meredakan flu, dan memperbaiki sirkulasi darah. Selain itu, tanaman ini juga dipercaya dapat meningkatkan daya tahan tubuh dan mengurangi rasa nyeri.","Pilek
Batuk
Perut kembung
Sakit kepala
Mual","Piperin, minyak atsiri, flavonoid, tanin."
,Legundi,Vitex trifolia,"Ligundi (Jawa); Lugundi (Sulaawesi); Langgundi (Maluku), Gligundi (Sunda).",,"Adalah tanaman obat yang daunnya sering digunakan dalam pengobatan tradisional untuk mengatasi batuk dan demam. Daunnya mengandung senyawa bioaktif yang dikenal memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meredakan sakit kepala, memperbaiki kesehatan saluran pernapasan, dan meningkatkan daya tahan tubuh. Selain itu, tanaman ini juga dipercaya memiliki efek menenangkan.","Batuk
Nyeri otot
Luka
Sakit tenggorokan
Kelelahan","Minyak atsiri, flavonoid, iridoid."
,Lengkuas,Alpinia galanga,Laja (Sunda); Greater galingale (Inggris); Lengkuas (Indonesia); Laos (Jawa),,"Adalah tanaman herbal dengan rimpang yang sering digunakan sebagai bumbu masakan dan obat tradisional. Rimpangnya kaya akan senyawa bioaktif yang diketahui memiliki sifat antiinflamasi dan antimikroba. Khasiatnya meliputi membantu mengatasi masalah pencernaan, meredakan nyeri otot, dan meningkatkan nafsu makan. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan tubuh secara keseluruhan.","Mual
Sakit kepala
Nyeri otot
Pilek
Tidak nafsu makan","Minyak atsiri, galangin, alpinin."
,Lidah buaya,Aloe vera,"Lidah buaya (Indonesia); Crocodiles tongues (Inggris); Jadam (Malaysia), Salvila (Spanyol), Luhui (Cina)",,"Adalah tanaman sukulen yang gel daunnya sering digunakan dalam produk perawatan kulit dan kesehatan. Daunnya mengandung senyawa bioaktif yang diketahui memiliki sifat antiinflamasi dan melembapkan. Khasiatnya meliputi membantu meredakan iritasi kulit, mempercepat penyembuhan luka, dan meningkatkan kesehatan pencernaan. Selain itu, tanaman ini juga dipercaya dapat menjaga keseimbangan hidrasi kulit.","Luka bakar ringan
Iritasi kulit
Jerawat
Kulit terbakar
Kulit kering","Aloin, barbaloin, vitamin, mineral."
,Mahkota dewa,Phaleria macrocarpa,Simalakama (Jawa); Pau (Sumatra); Raja Obat (Banten); Makuta Raja (Sunda).,,"Adalah tanaman dengan buah yang sering digunakan dalam pengobatan tradisional untuk berbagai penyakit. Buahnya mengandung senyawa bioaktif yang memiliki sifat antikanker dan antidiabetes. Khasiatnya meliputi membantu menurunkan kadar gula darah, meningkatkan kekebalan tubuh, dan mengurangi peradangan. Selain itu, tanaman ini juga dipercaya memiliki efek detoksifikasi.","Nyeri haid
Stres
Jerawat
Sakit kepala
Demam","Alkaloid, saponin, flavonoid."
,Mahoni,Swietenia mahagoni,Mahoni (Indonesia); Huni (Jawa); Maoni (Sumatra).,,"Adalah tanaman dengan biji yang digunakan untuk mengatasi berbagai masalah kesehatan. Biji mahoni mengandung senyawa bioaktif dengan sifat antioksidan dan antidiabetes. Khasiatnya meliputi membantu menurunkan tekanan darah, mengontrol kadar gula darah, dan meningkatkan sirkulasi darah. Selain itu, tanaman ini juga dipercaya dapat memperbaiki metabolisme tubuh.","Mual
Kelelahan
Nyeri haid
Demam
Sakit kepala","Saponin, flavonoid, alkaloid."
,Manggis,Garcinia mangostana,Manggis (Indonesia); Manggu (Jawa Barat); manggus (Lampung); Manggusto (Sulawesi Utara).,,"Adalah tanaman buah dengan kulit buah yang sering digunakan dalam pengobatan tradisional. Kulit buahnya mengandung senyawa bioaktif yang memiliki sifat antioksidan dan antikanker. Khasiatnya meliputi membantu meningkatkan daya tahan tubuh, mengurangi peradangan, dan melindungi kesehatan jantung. Selain itu, tanaman ini juga dipercaya mampu menjaga kesehatan kulit.","Sakit kepala
Jerawat
Imun lemah
Gangguan pencernaan
Kolesterol","Xanthone, tanin, antosianin."
,Melati,Jasminum sambac,Melati (Indonesia); Jasmine (Inggris); Yasmin (Arab); Malate (Madura); Menuh (Bali),,"Adalah tanaman hias dengan bunga kecil yang beraroma harum. Bunganya mengandung senyawa bioaktif dengan sifat antidepresan dan antimikroba. Khasiatnya meliputi membantu menenangkan pikiran, meredakan stres, dan meningkatkan kualitas tidur. Selain itu, tanaman ini juga sering digunakan sebagai aromaterapi.","Mual
Sakit perut
Kelelahan
Stres
Nyeri haid","Minyak atsiri, indol, linalool."
,Mengkudu,Morinda citrifolia,Pace (Jawa); Cengkudu (Sunda); Kodhuk (Madura); Wengkudu (Bali),,"Adalah tanaman buah yang sering digunakan dalam pengobatan tradisional untuk meningkatkan kesehatan. Buahnya mengandung senyawa bioaktif yang memiliki sifat antimikroba dan antiinflamasi. Khasiatnya meliputi membantu meningkatkan sistem kekebalan tubuh, mengurangi nyeri sendi, dan menjaga fungsi hati. Selain itu, tanaman ini juga dipercaya mampu mengatasi masalah pernapasan.","Sembelit
Nyeri otot
Sariawan
Kulit berminyak
Stres","Scopoletin, terpenoid, iridoid."
